HA_CLASS,sga_name,googlemaps_description
Bruns_1,A01,Tubbs Inlet
Bruns_2,A01,Shallot Inlet Intracoastal Waterway
Bruns_3,A02,Shallot River
Bruns_3A,A02,Shallot River
Bruns_4,A02,Shallot Inlet Intracoastal Waterway
Bruns_4A,A02,Shallot Inlet Intracoastal Waterway
Bruns_5,A02,Lockwoods Folloy River Intracoastal Waterway
Bruns_6,A02,Lockwoods Folloy River Intracoastal Waterway
Bruns_6,A03,Lockwoods Folloy River Intracoastal Waterway
Bruns_7,A03,Lockwoods Folly River
Bruns_8,B02,Bald Head Island
Bruns_8,B03,Bald Head Island
Bruns_8,B04,Bald Head Island
BS_1,D04,Bogue Sound and Deer Creek
BS_10A,E02,Bogue Sound and Morehead City
BS_10B,E02,Bogue Sound and Morehead City
BS_10B,E03,Bogue Sound and Morehead City
BS_11,E02,Bogue Sound and Morehead City
BS_11,E03,Bogue Sound and Morehead City
BS_12,E03,Bogue Sound and Morehead City
BS_13,E03,Bogue Sound and Morehead City
BS_13B,E03,Bogue Sound and Morehead City
BS_14,E03,Bogue Sound and Morehead City
BS_15,E03,Bogue Sound and Morehead City
BS_2,D04,Bogue Sound and Deer Creek
BS_3,D04,Bogue Sound
BS_4,D04,Bogue Sound
BS_5,D04,Bogue Sound
BS_6,D04,Bogue Sound
BS_7,D04,Broad Creek and Bogue Sound
BS_7,E01,Broad Creek and Bogue Sound
BS_8,E01,Broad Creek and Bogue Sound
BS_8,E02,Broad Creek and Bogue Sound
BS_9,D04,Bogue Sound
BS_9,E01,Bogue Sound
BS_9,E02,Bogue Sound
CL_1,E09,Thorofare Bay and Ceder Island
CL_1,F04,Thorofare Bay and Ceder Island
CL_2,F04,Cedar Island
CL_3,F04,Cedar Island and Cedar Island Bay
CL_4A,F04,Cedar Island Bay and Core Bay
CL_4B,F04,Cedar Island Bay and Core Bay
Hyde_1,G04,Middle Creek and Pamilco Sound
Hyde_2,G03,Juniper Bay West and Bluff Bay and Pamilco Sound
Hyde_2,G04,Juniper Bay West and Bluff Bay and Pamilco Sound
Hyde_3,G03,Swanquarter Bay and Pamilco Sound
Hyde_4,G03,Rose Bay and Pamilco Sound
Hyde_5,G03,Spencer Bay and Germantown Bay and Pamilco Sound
Hyde_6,G03,Deep Bay and Pamilco Sound
JB_1A,E08,Wade Creek and Jarrett Bay
JB_1B,E08,Jarrett Bay
JB_1C,E08,Jarrett Bay
JB_2,E08,Core Sound and Jarrett Bay
JB_3,E08,Core Sound and Jarrett Bay
JB_3,E09,Core Sound and Jarrett Bay
JB_4,E07,Core Sound and Jarrett Bay
JB_4,E08,Core Sound and Jarrett Bay
JB_4,E09,Core Sound and Jarrett Bay
LS_1,G04,Englehard and Pamilco Sound and Long Shoal River
LS_1,G05,Englehard and Pamilco Sound and Long Shoal River
MU_1,C04,Salliers Bay and Browns Creek
MU_10,D02,Queens Creek and Bear Island
MU_11,D02,Queens Creek
MU_12,D02,Queens Creek
MU_13,D02,Queens Creek and White Oak River and Bear Island
MU_13,D03,Queens Creek and White Oak River and Bear Island
MU_14,D03,Swansboro and Hawkins Bay
MU_15,D03,White Oak River
MU_15A,D03,White Oak River
MU_16A,D03,White Oak River
MU_16B,D03,Deer Creek and Bear Island and Bogue Sound
MU_16B,D04,Deer Creek and Bear Island and Bogue Sound
MU_17A,D03,Deer Creek and Bear Island and Bogue Sound
MU_17A,D04,Deer Creek and Bear Island and Bogue Sound
MU_17B,D03,Deer Creek and Bear Island and Bogue Sound
MU_17B,D04,Deer Creek and Bear Island and Bogue Sound
MU_2,C04,Salliers Bay and Browns Creek
MU_3,C04,Salliers Bay and Browns Creek
MU_4,C04,Freemans Creek and Salliers Bay
MU_5A,C04,Salliers Bay and Browns Creek
MU_5B,C04,Salliers Bay and Browns Creek
MU_5B,D01,Salliers Bay and Browns Creek
MU_6A,C04,Salliers Bay and Browns Creek and Browns Island
MU_6B,C04,Salliers Bay and Browns Creek
MU_6C,C04,Salliers Bay and Browns Creek
MU_7,D01,Bear Creek
MU_8,C04,Bear Creek
MU_8,D01,Bear Creek
MU_9,D01,Bear Creek and Saunders Island
NB_1,E09,Oyster Creek and Core Sound
NB_2,E09,Oyster Creek and Core Sound
NB_3,E09,Core Sound
NB_4,E09,Nelson Bay
NB_5,E09,Nelson Bay and Core Sound
NB_5,F04,Nelson Bay and Core Sound
NB_6,E09,Core Sound
NB_6,F04,Core Sound
Neuse_1,F05,Neuse River
Neuse_1,F07,Neuse River
Neuse_2,F02,Neuse River and Adams Creek
Neuse_3,F02,South River and Neuse River
Neuse_4,F02,Turnagain Bay and Neuse River
Neuse_4,F03,Turnagain Bay and Neuse River
Neuse_4,F07,Turnagain Bay and Neuse River
Neuse_6,F03,Long Bay and Neuse River
Neuse_7,F03,West Thorofare Bay and Neuse River
Neuse_8,F02,West Bay and Neuse River
Neuse_8,F03,West Bay and Neuse River
NH_1,B05,Masonboro Sound and Freemans Park
NH_2,B05,Masonboro Sound
NH_3,B05,Masonboro Sound and Masonboro Island
NH_4,B05,Masonboro Sound and Masonboro Island
NH_4,B06,Masonboro Sound and Masonboro Island
NH_4,B07,Masonboro Sound and Masonboro Island
NH_5,B05,Masonboro Sound and Masonboro Island
NH_5,B06,Masonboro Sound and Masonboro Island
NH_5,B07,Masonboro Sound and Masonboro Island
NH_6,B06,Bradley Creek and Shinn Creek and Wrightsville Beach
NH_6,B07,Bradley Creek and Shinn Creek and Wrightsville Beach
NH_7,B07,Wrightsville Beach and Middle Sound and Topsail Sound
NHP_1,B07,Topsail Sound
NHP_1,B08,Topsail Sound
NHP_2,B07,Topsail Sound
NHP_2,B08,Topsail Sound
NPT_1,E04,Newport River
NPT_2A,E04,Newport River
NPT_2B,E04,Newport River
NPT_3,E04,Newport River
NPT_4,E04,Newport River
NPT_5,E04,Newport River
NPT_6,E04,Newport River
NR_1,E05,North River
NR_1,E06,North River
NR_10,E07,North River and Back Sound
NR_2,E06,North River
NR_3,E06,North River
NR_4,E06,Wards Creek and North River
NR_5,E06,North River
NR_6,E06,Whitehurst Creek and North River
NR_7,E06,Sleepy Creek and North River
NR_8A,E05,North River
NR_8A,E06,North River
NR_8A,E07,North River
NR_8B,E06,The Straits and North River
NR_8B,E08,The Straits and North River
NR_9,E05,Beaufort Area
OBX_1,H02,Croatan Sound
OBX_10A,F04,Pamilco Sound and Southern Pamilco Sound
OBX_10A,F07,Pamilco Sound and Southern Pamilco Sound
OBX_10A,G03,Pamilco Sound and Southern Pamilco Sound
OBX_10A,G04,Pamilco Sound and Southern Pamilco Sound
OBX_10A,G06,Pamilco Sound and Southern Pamilco Sound
OBX_10A,G07,Pamilco Sound and Southern Pamilco Sound
OBX_10B,F04,Cedar Island and Porstmouth Island and Southern Pamilco Sound
OBX_10B,G06,Cedar Island and Porstmouth Island and Southern Pamilco Sound
OBX_2,H01,Roanoke Sound
OBX_3,H01,Roanoke Sound
OBX_4A,H06,Croatan Sound
OBX_4B,H01,Croatan Sound and Roanoke Sound
OBX_4B,H02,Croatan Sound and Roanoke Sound
OBX_4B,H06,Croatan Sound and Roanoke Sound
OBX_5,H01,Outer Banks and Pea Island
OBX_5,H05,Outer Banks and Pea Island
OBX_5,H06,Outer Banks and Pea Island
OBX_5A,H05,Outer Banks and Salvo
OBX_6,H05,Avon Buxton and Outer Banks
OBX_7,G06,Hatteras and Outer Banks
OBX_7,H04,Hatteras and Outer Banks
OBX_8,G06,Silver Lake and Ocracoke
OBX_9A,G04,Pamilco Sound
OBX_9A,G05,Pamilco Sound
OBX_9A,G06,Pamilco Sound
OBX_9A,G07,Pamilco Sound
OBX_9A,H06,Pamilco Sound
OBX_9B,G06,Pamilco Sound
OBX_9B,G07,Pamilco Sound
OBX_9B,H01,Pamilco Sound
OBX_9B,H04,Pamilco Sound
OBX_9B,H05,Pamilco Sound
OBX_9B,H06,Pamilco Sound
Onsl_1A,C03,New River
Onsl_1B,C03,New River
Onsl_2,C03,New River and Stones Bay
Onsl_3,C02,New River
Onsl_4,C01,New River and Chadwick Bay
Onsl_4,C02,New River and Chadwick Bay
Onsl_5,C01,Alligator Bay
Onsl_6A,B09,Stump Sound
Onsl_6B,B09,Stump Sound
Onsl_7,B08,Waters Bay and Stump Sound
Onsl_7,B09,Waters Bay and Stump Sound
PAM_1,G01,Goose Creek and Pamlico River
PAM_1,G02,Goose Creek and Pamlico River
PAM_2,G02,Clark Creeks and Pamilco Sound
PAM_3,G02,Pamilco Sound
PAM_4,F07,Southern Pamilco Sound
PAM_4,G02,Southern Pamilco Sound
PAM_5,F06,Jones Bay and Pamilco Sound
PAM_6,F06,Bay River and Pamilco Sound
PAM_6A,F06,Bay River and Pamilco Sound
PAM_6B,F06,Bay River and Pamilco Sound
PAM_7,F06,Southern Pamilco Sound
PAM_7,F07,Southern Pamilco Sound
PAM_7,G02,Southern Pamilco Sound
PAM_7,G03,Southern Pamilco Sound
PAM_7,G07,Southern Pamilco Sound
PND_1,B08,Topsail Sound
PND_2,B08,Topsail Sound
PND_3,B08,Topsail Sound and Old Topsail Creek
PND_4,B08,Topsail Sound
PND_5,B08,Topsail Sound
PND_5,B09,Topsail Sound
PND_6,B08,Topsail Sound
Pungo_1,G02,Pungo River and Wright Creek and Slade Creek
Pungo_1,G08,Pungo River and Wright Creek and Slade Creek
Sandy_1,G05,Parched Corn Bay and Pamilco Sound
Stump_1,H03,Stumpy Point and Pamilco Sound